"dataora","NomeTipoSensoreENG","anno","valore"
"2001-02-07","PM10",2001,118.190476190476
"2001-02-08","CO - Carbon Monoxide",2001,1.90317169516129
"2001-02-08","NO - Nitric Oxide",2001,169.866481134021
"2001-02-08","NO2 - Nitrogen Dioxide",2001,64.1527148571429
"2001-02-08","O3 - Ozone",2001,9.16344872093023
"2001-02-08","PM10",2001,80.4166666666667
"2001-02-09","CO - Carbon Monoxide",2001,2.06446786885246
"2001-02-09","NO - Nitric Oxide",2001,190.475115979381
"2001-02-09","NO2 - Nitrogen Dioxide",2001,58.5973166666667
"2001-02-09","O3 - Ozone",2001,9.63296593023256
"2001-02-09","PM10",2001,44.5833333333333
"2001-02-10","CO - Carbon Monoxide",2001,2.005681065
"2001-02-10","NO - Nitric Oxide",2001,149.746034742268
"2001-02-10","NO2 - Nitrogen Dioxide",2001,52.0284377714286
"2001-02-10","O3 - Ozone",2001,19.9418510465116
"2001-02-10","PM10",2001,47.5416666666667
"2001-02-11","CO - Carbon Monoxide",2001,1.88401495409836
"2001-02-11","NO - Nitric Oxide",2001,137.942764270833
"2001-02-11","NO2 - Nitrogen Dioxide",2001,51.1415083942308
"2001-02-11","O3 - Ozone",2001,23.2514127906977
"2001-02-11","PM10",2001,44.24
"2001-02-12","CO - Carbon Monoxide",2001,2.46889061147541
"2001-02-12","NO - Nitric Oxide",2001,246.214891649485
"2001-02-12","NO2 - Nitrogen Dioxide",2001,72.6151799047619
"2001-02-12","O3 - Ozone",2001,15.7982049069767
"2001-02-12","PM10",2001,84
"2001-02-13","CO - Carbon Monoxide",2001,2.82625525245902
"2001-02-13","NO - Nitric Oxide",2001,291.683849587629
"2001-02-13","NO2 - Nitrogen Dioxide",2001,81.4837769523809
"2001-02-13","O3 - Ozone",2001,14.2988204883721
"2001-02-13","PM10",2001,96.2916666666667
"2001-02-14","CO - Carbon Monoxide",2001,2.17430814285714
"2001-02-14","NO - Nitric Oxide",2001,208.176835612245
"2001-02-14","NO2 - Nitrogen Dioxide",2001,63.4497650943396
"2001-02-14","O3 - Ozone",2001,16.2510347906977
"2001-02-14","PM10",2001,81.84
"2001-02-15","CO - Carbon Monoxide",2001,2.28102192580645
"2001-02-15","NO - Nitric Oxide",2001,223.730178453608
"2001-02-15","NO2 - Nitrogen Dioxide",2001,63.9080238095238
"2001-02-15","O3 - Ozone",2001,16.6194699047619
"2001-02-15","PM10",2001,82.72
"2001-02-16","CO - Carbon Monoxide",2001,2.66193253809524
"2001-02-16","NO - Nitric Oxide",2001,279.28454
"2001-02-16","NO2 - Nitrogen Dioxide",2001,81.0544315238095
"2001-02-16","O3 - Ozone",2001,18.3848519534884
"2001-02-16","PM10",2001,109.625
"2001-02-17","CO - Carbon Monoxide",2001,2.39647862698413
"2001-02-17","NO - Nitric Oxide",2001,213.516473958333
