IdSensore,Tipologia,UnitaDiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,UTM_Nord,UTM_Est,lng,lat,location
30889,Temperatura,∞C,1562,Verceia Campo sportivo,200,SO,23/03/2016,,N,5116223,535141,9.455461719,46.19867642,"(46.19867642280887, 9.455461718548348)"
1368,Altezza Neve,cm,78,Tirano Monte Masuccio,1750,SO,24/08/2010,,N,5121837,590452,10.17331626,46.24408871,"(46.244088713270024, 10.17331625898132)"
19,Precipitazione,mm,12,Valdidentro Arnoga,1880,SO,02/05/1988,,N,5145777,595373,10.24200574,46.45882032,"(46.45882031954811, 10.24200573511197)"
20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,03/05/1988,,N,5152051,601015,10.3168218,46.51444736,"(46.514447363313245, 10.316821804332077)"
133,Temperatura,∞C,61,Valdisotto Arginone,1050,SO,05/06/2006,,N,5137647,604113,10.35398005,46.38438097,"(46.384380971659404, 10.353980048858165)"
1366,Precipitazione,mm,78,Tirano Monte Masuccio,1750,SO,01/01/2011,,N,5121837,590452,10.17331626,46.24408871,"(46.244088713270024, 10.17331625898132)"
30890,Precipitazione,mm,1562,Verceia Campo sportivo,200,SO,23/03/2016,,N,5116223,535141,9.455461719,46.19867642,"(46.19867642280887, 9.455461718548348)"
54,Temperatura,∞C,29,Chiesa in Valmalenco Funivia Bernina,2014,SO,28/10/1989,,N,5126716,566527,9.863699891,46.29075801,"(46.29075801339412, 9.863699890856447)"
1346,Temperatura,∞C,27,Chiesa in Valmalenco Alpe dell' Oro,2040,SO,01/01/2011,,N,5130048,558743,9.763068827,46.32146157,"(46.321461574123596, 9.76306882659023)"
34,Precipitazione,mm,8,Spriana Ponte sul Mallero,645,SO,14/08/1987,,N,5118488,566593,9.863393832,46.21670844,"(46.21670843699996, 9.86339383247257)"
66,Altezza Neve,cm,27,Chiesa in Valmalenco Alpe dell' Oro,2040,SO,01/02/1990,,N,5130048,558743,9.763068827,46.32146157,"(46.321461574123596, 9.76306882659023)"
139,Altezza Neve,cm,61,Valdisotto Arginone,1050,SO,05/06/2006,,N,5137647,604113,10.35398005,46.38438097,"(46.384380971659404, 10.353980048858165)"
13,Temperatura,∞C,6,Bormio Ponte sul  Frodolfo,1250,SO,25/11/1987,,N,5146642,605400,10.37274277,46.46511043,"(46.46511042549073, 10.372742774828684)"
203,Altezza Neve,cm,14,Valfurva S. Caterina,1730,SO,01/01/2011,,N,5140927,614872,10.49465943,46.41214801,"(46.412148011196464, 10.494659427896742)"
99,Temperatura,∞C,52,Grosio Diga Fusino,1220,SO,01/12/2001,,N,5131141,595908,10.2459702,46.32705578,"(46.327055775545546, 10.245970197827939)"
135,Precipitazione,mm,61,Valdisotto Arginone,1050,SO,01/01/2007,,N,5137647,604113,10.35398005,46.38438097,"(46.384380971659404, 10.353980048858165)"
67,Altezza Neve,cm,29,Chiesa in Valmalenco Funivia Bernina,2014,SO,03/04/1990,,N,5126716,566527,9.863699891,46.29075801,"(46.29075801339412, 9.863699890856447)"
42,Precipitazione,mm,29,Chiesa in Valmalenco Funivia Bernina,2014,SO,04/12/1989,,N,5126716,566527,9.863699891,46.29075801,"(46.29075801339412, 9.863699890856447)"
101,Altezza Neve,cm,52,Grosio Diga Fusino,1220,SO,01/12/2001,,N,5131141,595908,10.2459702,46.32705578,"(46.327055775545546, 10.245970197827939)"
6,Livello Idrometrico,cm,6,Bormio Ponte sul  Frodolfo,1250,SO,24/11/1987,,N,5146642,605400,10.37274277,46.46511043,"(46.46511042549073, 10.372742774828684)"
30,Temperatura,∞C,14,Valfurva S. Caterina,1730,SO,02/05/1988,,N,5140927,614872,10.49465943,46.41214801,"(46.412148011196464, 10.494659427896742)"
112,Temperatura,∞C,57,Branzi Caserma Carabinieri,830,BG,16/11/2001,,N,5094534,558779,9.759127833,46.00185756,"(46.0018575585613, 9.75912783256968)"
11,Precipitazione,mm,6,Bormio Ponte sul  Frodolfo,1250,SO,24/11/1987,,N,5146642,605400,10.37274277,46.46511043,"(46.46511042549073, 10.372742774828684)"
21,Precipitazione,mm,14,Valfurva S. Caterina,1730,SO,02/05/1988,,N,5140927,614872,10.49465943,46.41214801,"(46.412148011196464, 10.494659427896742)"
28,Temperatura,∞C,12,Valdidentro Arnoga,1880,SO,02/05/1988,,N,5145777,595373,10.24200574,46.45882032,"(46.45882031954811, 10.24200573511197)"
114,Altezza Neve,cm,57,Branzi Caserma Carabinieri,830,BG,08/01/2003,,N,5094534,558779,9.759127833,46.00185756,"(46.0018575585613, 9.75912783256968)"
11836,Direzione Vento,∞,119,San Giovanni Bianco Cornalita,622,BG,10/05/2012,,N,5079768,549604,9.639112837,45.8696909,"(45.86969089938538, 9.639112837494569)"
2271,Umidita'† Relativa,%,119,San Giovanni Bianco Cornalita,622,BG,07/09/2001,,N,5079768,549604,9.639112837,45.8696909,"(45.86969089938538, 9.639112837494569)"
9024,Temperatura,∞C,1221,Casnigo Campo Sportivo,502,BG,18/02/2004,,N,5073453,567252,9.865590363,45.81136074,"(45.811360742715465, 9.865590362771156)"
9386,Umidita'† Relativa,%,1221,Casnigo Campo Sportivo,502,BG,18/12/2008,,N,5073453,567252,9.865590363,45.81136074,"(45.811360742715465, 9.865590362771156)"
123,Livello Idrometrico,cm,60,Villa di Chiavenna,665,SO,20/11/2002,15/09/2009,S,5131062,539410,9.512031889,46.33198716,"(46.33198716063755, 9.512031889439431)"
8133,Temperatura,∞C,819,Lozio,994,BS,21/11/2001,,N,5093242,597570,10.25974953,45.98580688,"(45.985806882663645, 10.259749527330223)"
8170,Precipitazione,mm,819,Lozio,994,BS,21/11/2001,,N,5093242,597570,10.25974953,45.98580688,"(45.985806882663645, 10.259749527330223)"
8134,Temperatura,∞C,820,Pisogne,842,BS,21/11/2001,,N,5074267,589881,10.15694406,45.81610845,"(45.81610845411331, 10.156944059526895)"
8169,Precipitazione,mm,820,Pisogne,842,BS,21/11/2001,,N,5074267,589881,10.15694406,45.81610845,"(45.81610845411331, 10.156944059526895)"
14339,Direzione Vento,∞,133,Bema,958,SO,15/11/2012,,N,5105929,544001,9.5693347,46.10551878,"(46.10551877576103, 9.569334700408506)"
2275,Radiazione Globale,W/m≤,119,San Giovanni Bianco Cornalita,622,BG,12/09/2003,,N,5079768,549604,9.639112837,45.8696909,"(45.86969089938538, 9.639112837494569)"
3,Livello Idrometrico,cm,3,Sondalo Le Prese,950,SO,24/11/1987,,N,5133847,604242,10.35481152,46.35017158,"(46.35017157750056, 10.354811516997314)"
2452,Precipitazione,mm,133,Bema,958,SO,01/01/1993,,N,5105929,544001,9.5693347,46.10551878,"(46.10551877576103, 9.569334700408506)"
2447,Temperatura,∞C,133,Bema,958,SO,01/01/1993,,N,5105929,544001,9.5693347,46.10551878,"(46.10551877576103, 9.569334700408506)"
