idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,coordinate,
5507,Biossido di Azoto,µg/m³,504,Sesto San Giovanni v. Cesare da Sesto,139,MI,Sesto San Giovanni,N,1980-12-18T00:00:00.000,,5042386,518435,(45.534767, 9.236108)
5508,Biossido di Azoto,µg/m³,505,Legnano v.Diaz,199,MI,Legnano,S,1990-01-10T00:00:00.000,2018-07-30T00:00:00.000,5049180,493668,(45.596134, 8.918814)
5510,Biossido di Azoto,µg/m³,507,Villasanta v. A. Volta,176,MB,Villasanta,S,1990-02-13T00:00:00.000,2010-06-20T00:00:00.000,5050610,523948,(45.60862, 9.307118)
5511,Biossido di Azoto,µg/m³,508,Cassano d'Adda v.di Vona,133,MI,Cassano d'Adda,S,1984-12-17T00:00:00.000,2018-01-01T00:00:00.000,5040847,540004,(45.520008, 9.512221)
5512,Biossido di Azoto,µg/m³,509,Rivolta d'Adda v.Beccaria,101,CR,Rivolta d'Adda,S,1991-01-01T00:00:00.000,2018-01-01T00:00:00.000,5035130,539972,(45.46855, 9.511345)
5513,Biossido di Azoto,µg/m³,510,Inzago v.le Gramsci,138,MI,Inzago,S,1991-01-01T00:00:00.000,2018-01-01T00:00:00.000,5043030,538012,(45.53977, 9.486885)
5514,Biossido di Azoto,µg/m³,511,Abbiategrasso v. Serafino Dell'Uomo,118,MI,Abbiategrasso,S,1998-01-23T00:00:00.000,2018-07-30T00:00:00.000,5026880,493223,(45.395405, 8.913417)
5515,Biossido di Azoto,µg/m³,512,Carate Brianza v.De Gasperi,250,MB,Carate Brianza,S,1994-10-27T00:00:00.000,2018-07-30T00:00:00.000,5057635,518272,(45.672024, 9.2345915)
5516,Biossido di Azoto,µg/m³,513,Trezzo sull'Adda v.Nenni,199,MI,Trezzo sull'Adda,S,2001-02-22T00:00:00.000,2017-01-01T00:00:00.000,5051253,539618,(45.613693, 9.508122)
5517,Biossido di Azoto,µg/m³,514,Rho via Buon Gesù,152,MI,Rho,N,1991-10-03T00:00:00.000,,5041100,503483,(45.523426, 9.0446)
5518,Biossido di Azoto,µg/m³,515,Pero SS Sempione,141,MI,Pero,S,1986-12-10T00:00:00.000,2018-07-30T00:00:00.000,5039595,507028,(45.509853, 9.0899725)
5519,Biossido di Azoto,µg/m³,516,Robecchetto con Induno v. Pertini,135,MI,Robecchetto con Induno,S,1992-12-07T00:00:00.000,2017-01-01T00:00:00.000,5040503,481768,(45.517822, 8.766562)
