idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,coordinate,
12608,Arsenico,ng/m³,546,Magenta v. F. Turati,137,MI,Magenta,N,2008-04-15T00:00:00.000,,5034328,490635,(45.462418, 8.880211)
12609,Cadmio,ng/m³,546,Magenta v. F. Turati,137,MI,Magenta,N,2008-04-15T00:00:00.000,,5034328,490635,(45.462418, 8.880211)
12610,Piombo,ng/m³,546,Magenta v. F. Turati,137,MI,Magenta,N,2008-04-15T00:00:00.000,,5034328,490635,(45.462418, 8.880211)
12611,Benzo(a)pirene,ng/m³,546,Magenta v. F. Turati,137,MI,Magenta,N,2008-04-15T00:00:00.000,,5034328,490635,(45.462418, 8.880211)
12613,Nikel,ng/m³,670,Mantova S.Agnese,22,MN,Mantova,N,2008-02-19T00:00:00.000,,5002356,641122,(45.16057, 10.795564)
12614,Arsenico,ng/m³,670,Mantova S.Agnese,22,MN,Mantova,N,2008-02-19T00:00:00.000,,5002356,641122,(45.16057, 10.795564)
12615,Cadmio,ng/m³,670,Mantova S.Agnese,22,MN,Mantova,N,2008-02-19T00:00:00.000,,5002356,641122,(45.16057, 10.795564)
12616,Piombo,ng/m³,670,Mantova S.Agnese,22,MN,Mantova,N,2008-02-19T00:00:00.000,,5002356,641122,(45.16057, 10.795564)
12617,Benzo(a)pirene,ng/m³,670,Mantova S.Agnese,22,MN,Mantova,N,2008-02-19T00:00:00.000,,5002356,641122,(45.16057, 10.795564)
12619,Nikel,ng/m³,542,Meda v. Gagarin,222,MB,Meda,N,2008-04-18T00:00:00.000,,5056480,512203,(45.661762, 9.156644)
12620,Arsenico,ng/m³,542,Meda v. Gagarin,222,MB,Meda,N,2008-04-18T00:00:00.000,,5056480,512203,(45.661762, 9.156644)
12621,Cadmio,ng/m³,542,Meda v. Gagarin,222,MB,Meda,N,2008-04-18T00:00:00.000,,5056480,512203,(45.661762, 9.156644)
12622,Piombo,ng/m³,542,Meda v. Gagarin,222,MB,Meda,N,2008-04-18T00:00:00.000,,5056480,512203,(45.661762, 9.156644)
12623,Benzo(a)pirene,ng/m³,542,Meda v. Gagarin,222,MB,Meda,N,2008-04-18T00:00:00.000,,5056480,512203,(45.661762, 9.156644)
12624,Nikel,ng/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2008-04-01T00:00:00.000,,5036190,518405,(45.478996, 9.235491)
12625,Arsenico,ng/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2008-04-01T00:00:00.000,,5036190,518405,(45.478996, 9.235491)
12626,Cadmio,ng/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2008-04-01T00:00:00.000,,5036190,518405,(45.478996, 9.235491)
12627,Piombo,ng/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2008-04-01T00:00:00.000,,5036190,518405,(45.478996, 9.235491)
12629,Benzo(a)pirene,ng/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2008-04-02T00:00:00.000,,5036190,518405,(45.478996, 9.235491)
12637,Nikel,ng/m³,548,Milano v.Senato,118,MI,Milano,N,2008-07-09T00:00:00.000,,5035238,515435,(45.470497, 9.19746)
12638,Arsenico,ng/m³,548,Milano v.Senato,118,MI,Milano,N,2008-07-09T00:00:00.000,,5035238,515435,(45.470497, 9.19746)
12639,Cadmio,ng/m³,548,Milano v.Senato,118,MI,Milano,N,2008-07-09T00:00:00.000,,5035238,515435,(45.470497, 9.19746)
12640,Piombo,ng/m³,548,Milano v.Senato,118,MI,Milano,N,2008-07-09T00:00:00.000,,5035238,515435,(45.470497, 9.19746)
12641,Benzo(a)pirene,ng/m³,548,Milano v.Senato,118,MI,Milano,N,2008-07-10T00:00:00.000,,5035238,515435,(45.470497, 9.19746)
12661,Nikel,ng/m³,681,Moggio Loc. Penscei,1194,LC,Moggio,N,2008-06-14T00:00:00.000,,5084478,538586,(45.91279, 9.497539)
12662,Arsenico,ng/m³,681,Moggio Loc. Penscei,1194,LC,Moggio,N,2008-06-14T00:00:00.000,,5084478,538586,(45.91279, 9.497539)
12663,Cadmio,ng/m³,681,Moggio Loc. Penscei,1194,LC,Moggio,N,2008-06-14T00:00:00.000,,5084478,538586,(45.91279, 9.497539)
12664,Piombo,ng/m³,681,Moggio Loc. Penscei,1194,LC,Moggio,N,2008-06-14T00:00:00.000,,5084478,538586,(45.91279, 9.497539)
12665,Benzo(a)pirene,ng/m³,681,Moggio Loc. Penscei,1194,LC,Moggio,N,2008-06-15T00:00:00.000,,5084478,538586,(45.91279, 9.497539)
12667,Nikel,ng/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2008-02-23T00:00:00.000,,4986922,663580,(45.016876, 11.076095)
12668,Arsenico,ng/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2008-02-23T00:00:00.000,,4986922,663580,(45.016876, 11.076095)
12669,Cadmio,ng/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2008-02-23T00:00:00.000,,4986922,663580,(45.016876, 11.076095)
12670,Piombo,ng/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2008-02-23T00:00:00.000,,4986922,663580,(45.016876, 11.076095)
12671,Benzo(a)pirene,ng/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2008-02-22T00:00:00.000,,4986922,663580,(45.016876, 11.076095)
12673,Nikel,ng/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,2008-04-01T00:00:00.000,,5113073,567873,(46.167854, 9.8792095)
12674,Arsenico,ng/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,2008-04-01T00:00:00.000,,5113073,567873,(46.167854, 9.8792095)
12675,Cadmio,ng/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,2008-04-01T00:00:00.000,,5113073,567873,(46.167854, 9.8792095)
12676,Benzo(a)pirene,ng/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,2008-04-22T00:00:00.000,,5113073,567873,(46.167854, 9.8792095)
12684,Nikel,ng/m³,633,Soresina v. Landriani,70,CR,Soresina,N,2008-04-01T00:00:00.000,,5014860,567712,(45.283978, 9.863399)
12685,Arsenico,ng/m³,633,Soresina v. Landriani,70,CR,Soresina,N,2008-04-01T00:00:00.000,,5014860,567712,(45.283978, 9.863399)
12686,Cadmio,ng/m³,633,Soresina v. Landriani,70,CR,Soresina,N,2008-04-01T00:00:00.000,,5014860,567712,(45.283978, 9.863399)
12687,Piombo,ng/m³,633,Soresina v. Landriani,70,CR,Soresina,N,2008-04-01T00:00:00.000,,5014860,567712,(45.283978, 9.863399)
12688,Benzo(a)pirene,ng/m³,633,Soresina v. Landriani,70,CR,Soresina,N,2008-04-02T00:00:00.000,,5014860,567712,(45.283978, 9.863399)
12690,Nikel,ng/m³,560,Varese v.Copelli,383,VA,Varese,N,2008-04-01T00:00:00.000,,5073728,486035,(45.816975, 8.820241)
12691,Arsenico,ng/m³,560,Varese v.Copelli,383,VA,Varese,N,2008-04-01T00:00:00.000,,5073728,486035,(45.816975, 8.820241)
12692,Cadmio,ng/m³,560,Varese v.Copelli,383,VA,Varese,N,2008-04-01T00:00:00.000,,5073728,486035,(45.816975, 8.820241)
12693,Piombo,ng/m³,560,Varese v.Copelli,383,VA,Varese,N,2008-04-01T00:00:00.000,,5073728,486035,(45.816975, 8.820241)
12694,Benzo(a)pirene,ng/m³,560,Varese v.Copelli,383,VA,Varese,N,2008-04-02T00:00:00.000,,5073728,486035,(45.816975, 8.820241)
12695,Piombo,ng/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,2008-04-01T00:00:00.000,,5113073,567873,(46.167854, 9.8792095)
12696,Nikel,ng/m³,609,Casirate d'Adda v. Cimitero,108,BG,Casirate d'Adda,N,2008-04-24T00:00:00.000,,5038450,543458,(45.498226, 9.556232)
17037,Benzo(a)pirene,ng/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N,2012-01-14T00:00:00.000,,5059922,550116,(45.691036, 9.643651)
17038,Arsenico,ng/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N,2012-01-13T00:00:00.000,,5059922,550116,(45.691036, 9.643651)
17039,Cadmio,ng/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N,2012-01-13T00:00:00.000,,5059922,550116,(45.691036, 9.643651)
17040,Nikel,ng/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N,2012-01-13T00:00:00.000,,5059922,550116,(45.691036, 9.643651)
17041,Piombo,ng/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N,2012-01-13T00:00:00.000,,5059922,550116,(45.691036, 9.643651)
17042,Ammoniaca,µg/m³,677,Cremona Via Fatebenefratelli,43,CR,Cremona,N,2011-02-15T00:00:00.000,,4999315,582066,(45.14254, 10.043837)
17082,Benzo(a)pirene,ng/m³,569,Sondrio v.Mazzini,307,SO,Sondrio,S,2008-04-22T00:00:00.000,2011-12-30T00:00:00.000,5113078,567173,(46.167965, 9.870144)
17083,Nikel,ng/m³,569,Sondrio v.Mazzini,307,SO,Sondrio,S,2008-04-01T00:00:00.000,2011-12-26T00:00:00.000,5113078,567173,(46.167965, 9.870144)
17084,Arsenico,ng/m³,569,Sondrio v.Mazzini,307,SO,Sondrio,S,2008-04-01T00:00:00.000,2011-12-26T00:00:00.000,5113078,567173,(46.167965, 9.870144)
17085,Cadmio,ng/m³,569,Sondrio v.Mazzini,307,SO,Sondrio,S,2008-04-01T00:00:00.000,2011-12-26T00:00:00.000,5113078,567173,(46.167965, 9.870144)
17086,Piombo,ng/m³,569,Sondrio v.Mazzini,307,SO,Sondrio,S,2008-04-01T00:00:00.000,2011-12-26T00:00:00.000,5113078,567173,(46.167965, 9.870144)
17122,Particelle sospese PM2.5,µg/m³,548,Milano v.Senato,118,MI,Milano,N,2012-09-04T00:00:00.000,,5035238,515435,(45.470497, 9.19746)
17126,Benzene,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2012-09-13T00:00:00.000,,5036190,518405,(45.478996, 9.235491)
17127,Benzene,µg/m³,501,Milano v.Marche,129,MI,Milano,N,2012-09-13T00:00:00.000,,5038105,514918,(45.496315, 9.190933)
17159,Particelle sospese PM2.5,µg/m³,633,Soresina v. Landriani,70,CR,Soresina,N,2012-10-11T00:00:00.000,,5014860,567712,(45.283978, 9.863399)
17162,Particelle sospese PM2.5,µg/m³,681,Moggio Loc. Penscei,1194,LC,Moggio,N,2012-10-20T00:00:00.000,,5084478,538586,(45.91279, 9.497539)
17163,Benzene,µg/m³,655,Darfo Boario Terme v. De Amicis,221,BS,Darfo Boario Terme,N,2012-10-05T00:00:00.000,,5080789,591371,(45.874603, 10.177357)
17284,Ammoniaca,µg/m³,1374,Monza Parco,181,MB,Monza,N,2013-02-08T00:00:00.000,,5049780,521452,(45.60123, 9.275073)
17285,Ossidi di Azoto,µg/m³,1374,Monza Parco,181,MB,Monza,N,2013-05-01T00:00:00.000,,5049780,521452,(45.60123, 9.275073)
17286,Biossido di Azoto,µg/m³,1374,Monza Parco,181,MB,Monza,N,2013-05-01T00:00:00.000,,5049780,521452,(45.60123, 9.275073)
17288,Ozono,µg/m³,1374,Monza Parco,181,MB,Monza,N,2013-02-09T00:00:00.000,,5049780,521452,(45.60123, 9.275073)
17290,PM10 (SM2005),µg/m³,1374,Monza Parco,181,MB,Monza,N,2013-02-15T00:00:00.000,,5049780,521452,(45.60123, 9.275073)
17293,PM10 (SM2005),µg/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,2012-10-09T00:00:00.000,,5113073,567873,(46.167854, 9.8792095)
17295,Ozono,µg/m³,558,Busto Arsizio  Accam,206,VA,Busto Arsizio,N,2013-01-26T00:00:00.000,,5047718,487687,(45.582893, 8.842165)
17297,Ozono,µg/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N,2013-01-24T00:00:00.000,,5059922,550116,(45.691036, 9.643651)
20004,BlackCarbon,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2013-09-30T00:00:00.000,,5036190,518405,(45.478996, 9.235491)
20005,BlackCarbon,µg/m³,548,Milano v.Senato,118,MI,Milano,N,2013-09-30T00:00:00.000,,5035238,515435,(45.470497, 9.19746)
20020,Ammoniaca,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2007-03-30T00:00:00.000,,5036190,518405,(45.478996, 9.235491)
20031,Ammoniaca,µg/m³,693,Sannazzaro de' Burgondi v.Traversi,85,PV,Sannazzaro de' Burgondi,N,2013-10-24T00:00:00.000,,4994371,492461,(45.102768, 8.904175)
20032,Ossidi di Azoto,µg/m³,693,Sannazzaro de' Burgondi v.Traversi,85,PV,Sannazzaro de' Burgondi,N,2013-10-24T00:00:00.000,,4994371,492461,(45.102768, 8.904175)
20034,Biossido di Azoto,µg/m³,693,Sannazzaro de' Burgondi v.Traversi,85,PV,Sannazzaro de' Burgondi,N,2006-09-16T00:00:00.000,,4994371,492461,(45.102768, 8.904175)
20041,Ozono,µg/m³,670,Mantova S.Agnese,22,MN,Mantova,N,2013-12-13T00:00:00.000,,5002356,641122,(45.16057, 10.795564)
20042,Ammoniaca,µg/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2013-10-24T00:00:00.000,,4986922,663580,(45.016876, 11.076095)
20082,Ammoniaca,µg/m³,573,Colico v.La Madoneta,229,LC,Colico,N,2013-11-20T00:00:00.000,,5109468,529713,(46.13814, 9.384687)
20104,Particelle sospese PM2.5,µg/m³,592,Treviglio p.zza Insurrezione,191,BG,Treviglio,N,2015-03-01T00:00:00.000,,5040815,546236,(45.519337, 9.59201)
20154,Ozono,µg/m³,690,Mezzana Bigli loc. Casoni,73,PV,Mezzana Bigli,N,2013-11-20T00:00:00.000,,4990697,489679,(45.06966, 8.868889)
20155,PM10 (SM2005),µg/m³,690,Mezzana Bigli loc. Casoni,73,PV,Mezzana Bigli,N,2013-11-20T00:00:00.000,,4990697,489679,(45.06966, 8.868889)
20156,Ammoniaca,µg/m³,642,Pavia v. Folperti,77,PV,Pavia,N,2013-11-20T00:00:00.000,,5004590,512932,(45.194675, 9.1646385)
20157,Particelle sospese PM2.5,µg/m³,642,Pavia v. Folperti,77,PV,Pavia,N,2013-11-20T00:00:00.000,,5004590,512932,(45.194675, 9.1646385)
20197,PM10 (SM2005),µg/m³,598,San Rocco al Porto v.Matteotti,50,LO,San Rocco al Porto,N,2002-01-01T00:00:00.000,,4992297,555154,(45.081985, 9.7007885)
20216,Biossido di Zolfo,µg/m³,690,Mezzana Bigli loc. Casoni,73,PV,Mezzana Bigli,N,2006-01-20T00:00:00.000,,4990697,489679,(45.06966, 8.868889)
20358,Particelle sospese PM2.5,µg/m³,504,Sesto San Giovanni v. Cesare da Sesto,139,MI,Sesto San Giovanni,N,2017-01-01T00:00:00.000,,5042386,518435,(45.534767, 9.236108)
20401,Benzene,µg/m³,571,Bormio v.Monte Braulio,1225,SO,Bormio,N,2017-02-21T00:00:00.000,,5147136,605598,(46.469524, 10.375433)
20427,Biossido di Zolfo,µg/m³,683,Cassano d'Adda 2-v.Milano,133,MI,Cassano d'Adda,N,2017-12-20T00:00:00.000,,5041567,540293,(45.526474, 9.515981)
20428,PM10 (SM2005),µg/m³,683,Cassano d'Adda 2-v.Milano,133,MI,Cassano d'Adda,N,2017-12-19T00:00:00.000,,5041567,540293,(45.526474, 9.515981)
20429,PM10 (SM2005),µg/m³,501,Milano v.Marche,129,MI,Milano,N,2018-01-01T00:00:00.000,,5038105,514918,(45.496315, 9.190933)
20441,Ossidi di Azoto,µg/m³,681,Moggio Loc. Penscei,1194,LC,Moggio,N,2007-03-17T00:00:00.000,,5084478,538586,(45.91279, 9.497539)
20442,Monossido di Azoto,µg/m³,681,Moggio Loc. Penscei,1194,LC,Moggio,N,2007-03-16T00:00:00.000,,5084478,538586,(45.91279, 9.497539)
20443,Biossido di Azoto,µg/m³,681,Moggio Loc. Penscei,1194,LC,Moggio,N,2007-03-16T00:00:00.000,,5084478,538586,(45.91279, 9.497539)
20455,BlackCarbon,µg/m³,501,Milano v.Marche,129,MI,Milano,N,2020-11-25T00:00:00.000,,5038105,514918,(45.496315, 9.190933)
20465,BlackCarbon,µg/m³,548,Milano v.Senato,118,MI,Milano,N,,,5035238,515435,(45.470497, 9.19746)
20484,Ammoniaca,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,,,5036190,518405,(45.478996, 9.235491)
20487,Monossido di Carbonio,mg/m³,695,Ponti sul Mincio v.San Martino,113,MN,Ponti sul Mincio,N,2021-06-01T00:00:00.000,,5030184,631718,(45.412773, 10.683357)
20488,Particelle sospese PM2.5,µg/m³,564,Erba v. Battisti,279,CO,Erba,N,,,5072803,517232,(45.808575, 9.221779)
20489,Ossidi di Azoto,µg/m³,1800,Brescia S.Polo,124,BS,Brescia,N,,,5040227,598141,(45.508667, 10.256371)
20490,Monossido di Azoto,µg/m³,1800,Brescia S.Polo,124,BS,Brescia,N,,,5040227,598141,(45.508667, 10.256371)
20491,Biossido di Azoto,µg/m³,1800,Brescia S.Polo,124,BS,Brescia,N,,,5040227,598141,(45.508667, 10.256371)
20492,Particelle sospese PM2.5,µg/m³,1800,Brescia S.Polo,124,BS,Brescia,N,,,5040227,598141,(45.508667, 10.256371)
20493,Ossidi di Azoto,µg/m³,1801,Brescia v.Tartaglia,151,BS,Brescia,N,,,5043948,594556,(45.54265, 10.2112055)
20494,Monossido di Azoto,µg/m³,1801,Brescia v.Tartaglia,151,BS,Brescia,N,,,5043948,594556,(45.54265, 10.2112055)
20495,Biossido di Azoto,µg/m³,1801,Brescia v.Tartaglia,151,BS,Brescia,N,,,5043948,594556,(45.54265, 10.2112055)
20496,PM10 (SM2005),µg/m³,1801,Brescia v.Tartaglia,151,BS,Brescia,N,,,5043948,594556,(45.54265, 10.2112055)
20497,Benzene,µg/m³,1801,Brescia v.Tartaglia,151,BS,Brescia,N,,,5043948,594556,(45.54265, 10.2112055)
20523,Ammoniaca,µg/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N,,,5059922,550116,(45.691036, 9.643651)
20528,Particelle sospese PM2.5,µg/m³,708,Parona v. della Miseria,112,PV,Parona,N,2021-06-01T00:00:00.000,,5014300,480733,(45.281937, 8.754334)
20529,Particelle sospese PM2.5,µg/m³,501,Milano v.Marche,129,MI,Milano,N,2022-01-01T00:00:00.000,,5038105,514918,(45.496315, 9.190933)
