,Data,IdSensore,Valore,idsensore,tipologia,unit_dimisura,idstazione,nomestazione,quota,provincia,storico,datastart,datastop,cgb_nord,cgb_est,lat,lng,coordinate
54,2011-02-14,2202,0.15069444444444444,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
55,2011-02-15,2202,0.5861111111111111,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
56,2011-02-16,2202,0.9659722222222222,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
57,2011-02-17,2202,0.10694444444444445,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
58,2011-02-18,2202,0.6111111111111112,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
59,2011-02-19,2202,1.5819444444444446,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
60,2011-02-02,2202,0.4548611111111111,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
61,2011-02-20,2202,0.4722222222222222,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
62,2011-02-21,2202,0.7159722222222222,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
63,2011-02-23,2202,0.8618055555555555,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
64,2011-02-24,2202,1.0159722222222223,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
65,2011-02-25,2202,0.71875,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
66,2011-02-26,2202,0.4861111111111111,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
67,2011-02-27,2202,0.73125,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
68,2011-02-28,2202,0.3201388888888889,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
69,2011-02-03,2202,0.6166666666666667,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
70,2011-02-04,2202,0.49374999999999997,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
